"","country","population","lifeexp","childmort","income","gdpcapita","chdperwoman","healthspend","co2","water","popdensity","murder","continent"
"144","Romania",20500000,73.8,11.5,20400,8210,1.47,428,4.11,100,"88.9",556,"Europe"
"146","Rwanda",1e+07,64.5,63.5,1510,610,4.52,55.5,0.0572,77.4,"407",431,"Africa"
"149","Sao Tome and Principe",180000,69,45.4,3360,1090,4.79,90,0.549,81.3,"188",8.52,"Africa"
"151","Senegal",12700000,65.7,66.4,2740,1270,5.06,58.5,0.575,91.1,"65.9",171,"Africa"
"152","Serbia",8990000,74.1,7.61,14600,5740,1.58,546,5.09,88.1,"103",269,"Europe"
"154","Sierra Leone",6420000,56,163,1410,402,5.2,42.5,0.0897,72.6,"88.9",90.9,"Africa"
"155","Singapore",5130000,82.8,2.81,78200,47200,1.26,1730,11.4,100,"7330",20.7,"Asia"
"156","Slovak Republic",5400000,75.8,6.97,25500,16800,1.36,1410,7.13,98.9,"112",160,"Europe"
"157","Slovenia",2040000,79.7,3.21,33500,23500,1.52,2150,8.02,99.7,"101",25.4,"Europe"
"160","South Africa",51200000,57.1,52.5,12500,7330,2.59,649,9.16,98.7,"42.2",20100,"Africa"
"163","Spain",46900000,82.1,3.85,37400,30500,1.37,2880,6.04,100,"94.1",381,"Europe"
"164","Sri Lanka",20300000,74,11.6,9130,2800,2.2,70,0.645,96.3,"323",1010,"Asia"
"168","Sudan",34500000,67.4,75.9,3220,1490,4.88,83.9,0.417,67.3,"19.6",557,"Africa"
"170","Sweden",9390000,81.9,3.06,47900,52900,1.99,4710,5.63,100,"22.9",110,"Europe"
"171","Switzerland",7810000,82.8,4.55,64300,77100,1.5,7810,5.77,100,"198",66.2,"Europe"
"175","Tanzania",44300000,61.1,72.3,2010,743,5.43,30.9,0.154,76.5,"50.1",3660,"Africa"
"176","Thailand",67200000,77,13.3,14400,5080,1.55,179,3.82,99.2,"132",4740,"Asia"
"178","Togo",6420000,59.5,89.6,1230,534,4.87,40.6,0.405,84.9,"118",221,"Africa"
"181","Tunisia",10600000,76.2,18.4,10100,4140,2.14,238,2.55,99.2,"68.5",110,"Africa"
"182","Turkey",72300000,76.7,17.3,20100,10700,2.16,678,4.35,98.7,"94",1560,"Europe"
"185","Uganda",32400000,59.3,77.4,1860,819,6.15,46.7,0.116,73.1,"162",2150,"Africa"
"188","United Kingdom",63500000,80.6,5.16,42100,39500,1.89,3500,8.07,100,"262",439,"Europe"
"189","United States",3.09e+08,78.9,7.33,54400,48500,1.93,8360,18.5,99.8,"33.8",17500,"Americas"
"190","Uruguay",3360000,76.5,10.7,17700,12000,2.08,998,1.88,99.2,"19.2",168,"Americas"
"194","Vietnam",8.8e+07,73.2,23.1,5090,1320,1.95,82.9,1.55,96.2,"284",1850,"Asia"
"196","Zambia",13600000,56.5,80.3,3130,1490,5.4,72.9,0.189,84,"18.3",1330,"Africa"
